;date;T. Max.;T. Min.;H. Max.;H. Min.;P. Max.;P. Min.;Vel.;Precipitación;T. Amp.;P. Amp.;H. Amp.;T. med1.;P. med1.;H. med1.;Prec. Acumulado;Cuenta_lluvia;Cuenta_sequía;Regresión T. med1.;Regresión T. Max.;Regresión T. Min.;Regresión T. Amp.
2020-01-24;20200124;6.1;4.7;95;81;1022.4;1019.8;11.0;3.4;1.3999999999999995;2.6000000000000227;14;5.4;1021.0999999999999;88.0;1;1;0;14.474720241489175;19.829833080137277;9.105058135063615;10.72477494507366
2020-01-25;20200125;7.3;3.9;96;88;1020.3;1016.5;18.0;10.2;3.4;3.7999999999999545;8;5.6;1018.4;92.0;1;2;0;14.475417162327076;19.83060484346031;9.105677080099541;10.724927763360768
2020-01-26;20200126;9.6;1.9;97;57;1026.0;1018.9;21.0;0.0;7.699999999999999;7.100000000000023;40;5.75;1022.45;77.0;0.0;0;1;14.476114083164978;19.831376606783344;9.106296025135466;10.725080581647875
2020-01-27;20200127;4.9;0.7;97;90;1026.1;1023.1;13.0;0.2;4.2;2.9999999999998863;7;2.8000000000000003;1024.6;93.5;1;1;0;14.47681100400288;19.832148370106374;9.10691497017139;10.725233399934982
2020-01-28;20200128;10.1;5.0;97;95;1024.3;1021.7;18.0;2.2;5.1;2.599999999999909;2;7.55;1023.0;96.0;1;2;0;14.47750792484078;19.832920133429408;9.107533915207316;10.72538621822209
2020-01-29;20200129;12.3;7.9;97;77;1024.9;1022.2;27.0;0.2;4.4;2.7000000000000455;20;10.100000000000001;1023.5500000000001;87.0;1;3;0;14.47820484567868;19.83369189675244;9.10815286024324;10.725539036509197
2020-01-30;20200130;9.6;7.1;97;84;1024.9;1022.5;16.0;0.8;2.5;2.400000000000091;13;8.35;1023.7;90.5;1;4;0;14.478901766516582;19.83446366007547;9.108771805279167;10.725691854796304
2020-01-31;20200131;10.7;7.1;97;90;1026.0;1023.4;15.0;0.6;3.5999999999999996;2.6000000000000227;7;8.899999999999999;1024.7;93.5;1;5;0;14.479598687354484;19.835235423398505;9.109390750315091;10.725844673083412
2020-02-01;20200201;16.9;8.8;97;64;1028.4;1022.6;16.0;1.2;8.099999999999998;5.800000000000068;33;12.85;1025.5;80.5;1;6;0;14.480295608192385;19.836007186721538;9.110009695351017;10.725997491370519
2020-02-02;20200202;12.0;7.2;97;85;1032.9;1027.9;11.0;0.2;4.8;5.0;12;9.6;1030.4;91.0;1;7;0;14.480992529030287;19.836778950044568;9.110628640386942;10.726150309657626
2020-02-03;20200203;18.9;3.7;97;40;1033.1;1029.2;11.0;0.0;15.2;3.8999999999998636;57;11.299999999999999;1031.15;68.5;0.0;0;1;14.481689449868188;19.8375507133676;9.111247585422866;10.726303127944734
2020-02-04;20200204;19.4;6.8;84;29;1030.8;1026.1;29.0;0.0;12.599999999999998;4.7000000000000455;55;13.1;1028.4499999999998;56.5;0.0;0;2;14.482386370706088;19.838322476690635;9.111866530458792;10.72645594623184
2020-02-05;20200205;13.9;1.2;79;34;1029.5;1025.2;16.0;0.0;12.700000000000001;4.2999999999999545;45;7.55;1027.35;56.5;0.0;0;3;14.48308329154399;19.839094240013665;9.112485475494717;10.726608764518947
2020-02-06;20200206;12.0;2.2;90;66;1027.2;1022.9;18.0;0.0;9.8;4.300000000000068;24;7.1;1025.05;78.0;0.0;0;4;14.483780212381891;19.8398660033367;9.113104420530643;10.726761582806054
